Stage,Module,Node_ID,Node_Name,Weight_Shape,Sx,Sw,Sy,Sw_x_Sx_div_Sy (M_float),M_mult_dyn,M_shift_dyn,Rel_Err_Dyn_%,M_mult_16,M_shift_16,Rel_Err_16_%,Bias_Scale,DRAM1_Weight_Start,DRAM1_Weight_End,DRAM1_Bias_Start,DRAM1_Bias_End,DRAM2_OFM_Start,DRAM2_OFM_End
backbone,module_0_conv_P1,0,/model.0/conv/Conv,"[16, 3, 3, 3]",7.87401575e-03,2.92541083e-01,9.08062071e-01,2.53669124e-03,42559,24,0.000900,166,16,0.147131,2.30347310e-03,0,431,432,447,0,1638399
backbone,module_1_conv_P2,3,/model.1/conv/Conv,"[32, 16, 3, 3]",8.87835765e-01,1.51355454e-02,1.86645292e+00,7.19968795e-03,60395,23,0.000596,472,16,0.034175,1.34378786e-02,448,5055,5056,5087,4915200,5734399
backbone,module_2_c3k2_P2,6,/model.2/cv1/conv/Conv,"[32, 32, 1, 1]",1.70762106e+00,1.12217102e-02,1.46759033e+00,1.30570692e-02,54765,22,0.000580,856,16,0.034113,1.91624285e-02,5088,6111,6112,6143,7372800,8191999
backbone,module_2_c3k2_P2,10,/model.2/m.0/cv1/conv/Conv,"[8, 16, 3, 3]",6.76333690e-01,1.01571665e-03,8.41600914e-02,8.16257895e-03,34236,22,0.000986,535,16,0.010698,6.86963390e-04,6146,7297,7298,7305,10240000,10444799
backbone,module_2_c3k2_P2,13,/model.2/m.0/cv2/conv/Conv,"[16, 8, 3, 3]",5.89668094e-02,1.05673497e-01,8.53552450e-01,7.30034687e-03,61240,23,0.000411,478,16,0.091033,6.23122896e-03,7306,8457,8458,8473,10854400,11263999
backbone,module_2_c3k2_P2,18,/model.2/cv2/conv/Conv,"[64, 48, 1, 1]",1.00560118e+00,1.01772631e-02,9.08358116e-01,1.12667764e-02,47256,22,0.000604,738,16,0.051391,1.02342678e-02,8474,11545,11546,11609,13721600,15359999
backbone,module_3_conv_P3,21,/model.3/conv/Conv,"[64, 64, 3, 3]",3.93158229e-01,1.47114565e-03,2.18424549e-01,2.64802203e-03,44426,24,0.000985,174,16,0.264623,5.78393019e-04,11610,48473,48474,48537,18636800,19046399
backbone,module_4_c3k2_P3,24,/model.4/cv1/conv/Conv,"[64, 64, 1, 1]",1.23085307e-01,9.93462717e-03,1.37636921e-01,8.88429233e-03,37263,22,0.001135,582,16,0.041389,1.22280664e-03,48538,52633,52634,52697,19865600,20275199
backbone,module_4_c3k2_P3,28,/model.4/m.0/cv1/conv/Conv,"[16, 32, 3, 3]",7.85475528e-02,4.21447454e-03,8.79963702e-02,3.76193541e-03,63115,24,0.000312,247,16,0.185689,3.31036661e-04,52700,57307,57308,57323,21299200,21401599
backbone,module_4_c3k2_P3,31,/model.4/m.0/cv2/conv/Conv,"[32, 16, 3, 3]",5.43720028e-02,6.09784990e-03,1.08610416e-01,3.05267509e-03,51215,24,0.000760,200,16,0.030048,3.31552312e-04,57324,61931,61932,61963,21606400,21811199
backbone,module_4_c3k2_P3,36,/model.4/cv2/conv/Conv,"[128, 96, 1, 1]",8.70528709e-02,5.91843147e-03,1.16577479e-01,4.41951958e-03,37074,23,0.001032,290,16,0.125110,5.15216451e-04,61964,74251,74252,74379,23040000,23859199
backbone,module_5_conv_P4,39,/model.5/conv/Conv,"[128, 128, 3, 3]",8.66867726e-02,7.09128521e-03,1.09219243e-01,5.62831796e-03,47214,23,0.000523,369,16,0.038647,6.14720628e-04,74380,221835,221836,221963,25497600,25702399
backbone,module_6_c3k2_P4,42,/model.6/cv1/conv/Conv,"[128, 128, 1, 1]",1.09219138e-01,8.73367617e-03,8.56663862e-02,1.11348760e-02,46703,22,0.000117,730,16,0.036283,9.53884584e-04,221964,238347,238348,238475,26112000,26316799
backbone,module_6_c3k2_P4,46,/model.6/m.0/cv1/conv/Conv,"[32, 64, 1, 1]",8.39493744e-02,4.98031303e-03,6.71588642e-02,6.22545017e-03,52223,23,0.000266,408,16,0.002181,4.18094163e-04,238478,240525,240526,240557,26828800,26879999
backbone,module_6_c3k2_P4,47,/model.6/m.0/cv2/conv/Conv,"[32, 64, 1, 1]",8.39493744e-02,2.04693914e-02,2.15093252e-01,7.98905864e-03,33509,22,0.001371,524,16,0.081947,1.71839261e-03,240558,242605,242606,242637,26880000,26931199
backbone,module_6_c3k2_P4,52,/model.6/m.0/m/m.0/cv1/conv/Conv,"[32, 32, 3, 3]",5.76158283e-02,8.53970389e-03,1.00441520e-01,4.89859288e-03,41092,23,0.000914,321,16,0.010648,4.92022113e-04,242638,251853,251854,251885,27136000,27187199
backbone,module_6_c3k2_P4,55,/model.6/m.0/m/m.0/cv2/conv/Conv,"[32, 32, 3, 3]",9.27277212e-02,5.03586221e-03,8.62732835e-02,5.41261452e-03,45404,23,0.000664,355,16,0.078624,4.66964027e-04,251886,261101,261102,261133,27289600,27340799
backbone,module_6_c3k2_P4,59,/model.6/m.0/m/m.1/cv1/conv/Conv,"[32, 32, 3, 3]",7.24603923e-02,3.57364294e-03,9.04631802e-02,2.86246370e-03,48024,24,0.000358,188,16,0.216200,2.58947570e-04,261134,270349,270350,270381,27494400,27545599
backbone,module_6_c3k2_P4,62,/model.6/m.0/m/m.1/cv2/conv/Conv,"[32, 32, 3, 3]",9.01024060e-02,6.92118763e-03,1.22176035e-01,5.10423879e-03,42817,23,0.001070,335,16,0.146066,6.23615658e-04,270382,279597,279598,279629,27648000,27699199
backbone,module_6_c3k2_P4,67,/model.6/m.0/cv3/conv/Conv,"[64, 64, 1, 1]",1.50115591e-01,5.82729972e-03,1.28277230e-01,6.81935945e-03,57205,23,0.000117,447,16,0.019346,8.74768544e-04,279630,283725,283726,283789,27955200,28057599
backbone,module_6_c3k2_P4,71,/model.6/cv2/conv/Conv,"[128, 192, 1, 1]",1.28277215e-01,5.00172799e-03,8.48649318e-02,7.56034001e-03,63421,23,0.000428,495,16,0.095755,6.41607739e-04,283790,308365,308366,308493,28569600,28774399
backbone,module_7_conv_P5,74,/model.7/conv/Conv,"[256, 128, 3, 3]",8.28912615e-02,5.79061705e-03,1.44020741e-01,3.33279462e-03,55915,24,0.000027,218,16,0.191389,4.79991552e-04,308494,603405,603406,603661,29184000,29286399
backbone,module_8_c3k2_P5,77,/model.8/cv1/conv/Conv,"[256, 256, 1, 1]",6.56317688e-02,1.08842944e-02,1.46139400e-01,4.88817862e-03,41005,23,0.000035,320,16,0.109777,7.14355491e-04,603662,669197,669198,669453,29491200,29593599
backbone,module_8_c3k2_P5,81,/model.8/m.0/cv1/conv/Conv,"[64, 128, 1, 1]",7.71398770e-02,5.68744047e-03,5.59758689e-02,7.83781416e-03,32874,22,0.000533,514,16,0.066389,4.38728458e-04,669456,677647,677648,677711,29849600,29875199
backbone,module_8_c3k2_P5,82,/model.8/m.0/cv2/conv/Conv,"[64, 128, 1, 1]",7.71398770e-02,1.57956195e-02,1.33724258e-01,9.11182581e-03,38218,22,0.000609,597,16,0.025557,1.21847214e-03,677712,685903,685904,685967,29875200,29900799
backbone,module_8_c3k2_P5,87,/model.8/m.0/m/m.0/cv1/conv/Conv,"[64, 64, 3, 3]",4.37063533e-02,1.04626201e-02,6.97462803e-02,6.55637791e-03,54999,23,0.000211,430,16,0.074758,4.57282971e-04,685968,722831,722832,722895,30003200,30028799
backbone,module_8_c3k2_P5,90,/model.8/m.0/m/m.0/cv2/conv/Conv,"[64, 64, 3, 3]",6.97363606e-02,7.37072351e-03,9.00310606e-02,5.70922334e-03,47892,23,0.000912,374,16,0.042672,5.14007433e-04,722896,759759,759760,759823,30080000,30105599
backbone,module_8_c3k2_P5,94,/model.8/m.0/m/m.1/cv1/conv/Conv,"[64, 64, 3, 3]",8.99496154e-02,2.78305890e-03,7.77202066e-02,3.22097803e-03,54039,24,0.000082,211,16,0.042643,2.50335078e-04,759824,796687,796688,796751,30182400,30207999
backbone,module_8_c3k2_P5,97,/model.8/m.0/m/m.1/cv2/conv/Conv,"[64, 64, 3, 3]",5.95159718e-02,1.14806393e-02,1.03748457e-01,6.58594284e-03,55247,23,0.000194,432,16,0.088887,6.83281405e-04,796752,833615,833616,833679,30259200,30284799
