Node_Idx,Node_Name,Type,Producer,Input_Tensor,Min,Max,Mean,Std,P0.1%,P1%,P50%,P99%,P99.9%,Sat_<_-6(%),Sat_>_+6(%),Sat_Total6(%),"Linear_[-2,2](%)"
1,/model.0/act/Sigmoid,SiLU,Conv,/model.0/conv/Conv_output_0,-115.3239,112.7551,-0.1271,6.7312,-28.9712,-20.0983,0.8272,14.7993,29.2031,15.36,10.81,26.17,43.41
4,/model.1/act/Sigmoid,SiLU,Conv,/model.1/conv/Conv_output_0,-237.0395,216.8679,1.5445,4.4617,-32.9323,-10.3784,1.4906,13.5237,32.2395,1.88,8.67,10.54,52.33
7,/model.2/cv1/act/Sigmoid,SiLU,Conv,/model.2/cv1/conv/Conv_output_0,-186.3840,127.7113,1.1947,3.3461,-32.2764,-8.7951,1.2567,9.8458,22.4360,1.69,3.14,4.82,57.37
11,/model.2/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.2/m.0/cv1/conv/Conv_output_0,-10.6883,7.4930,0.4421,0.5796,-3.6029,-1.5532,0.5312,1.3331,2.4091,0.01,0.00,0.01,99.12
14,/model.2/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.2/m.0/cv2/conv/Conv_output_0,-108.4012,87.6034,0.9140,3.6016,-29.2446,-11.8742,0.9486,10.2504,19.5380,3.31,3.77,7.08,65.53
19,/model.2/cv2/act/Sigmoid,SiLU,Conv,/model.2/cv2/conv/Conv_output_0,-115.3615,49.9311,0.1786,2.8972,-26.0672,-11.1306,0.4665,5.1410,8.8505,2.65,0.46,3.10,71.28
22,/model.3/act/Sigmoid,SiLU,Conv,/model.3/conv/Conv_output_0,-27.7399,15.6318,0.5269,1.2772,-5.0443,-2.4784,0.4822,3.4029,5.0762,0.05,0.04,0.09,86.36
25,/model.4/cv1/act/Sigmoid,SiLU,Conv,/model.4/cv1/conv/Conv_output_0,-17.4799,11.0559,0.5971,1.0489,-5.5643,-2.4548,0.7391,2.5977,3.8185,0.07,0.00,0.07,92.83
29,/model.4/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.4/m.0/cv1/conv/Conv_output_0,-11.1755,6.9121,0.8828,1.0061,-3.7929,-1.7921,0.9794,2.7936,3.5047,0.01,0.00,0.01,88.04
32,/model.4/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.4/m.0/cv2/conv/Conv_output_0,-13.7935,8.7713,1.0589,1.1030,-4.0680,-1.9339,1.1895,3.3206,4.4818,0.03,0.01,0.03,80.69
37,/model.4/cv2/act/Sigmoid,SiLU,Conv,/model.4/cv2/conv/Conv_output_0,-14.8053,11.0094,-0.7575,0.9421,-4.7786,-3.2687,-0.7867,1.4997,2.3945,0.03,0.00,0.03,92.79
40,/model.5/act/Sigmoid,SiLU,Conv,/model.5/conv/Conv_output_0,-12.7815,13.8708,0.0989,1.2315,-4.4886,-2.7216,-0.0396,2.6049,3.7311,0.03,0.01,0.04,92.22
43,/model.6/cv1/act/Sigmoid,SiLU,Conv,/model.6/cv1/conv/Conv_output_0,-10.8796,10.6618,0.1010,1.0302,-4.5618,-2.6983,0.1676,2.3384,3.6404,0.03,0.00,0.03,95.53
48,/model.6/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.6/m.0/cv1/conv/Conv_output_0,-8.5292,7.3220,0.2545,0.6585,-2.2905,-1.3645,0.2497,1.6331,2.6826,0.00,0.00,0.00,99.43
49,/model.6/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.6/m.0/cv2/conv/Conv_output_0,-27.3168,19.0647,-0.0039,1.2699,-8.6603,-4.3411,0.1004,2.7778,5.1888,0.32,0.06,0.38,91.66
53,/model.6/m.0/m/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.6/m.0/m/m.0/cv1/conv/Conv_output_0,-12.7561,11.7765,-0.4995,0.9869,-5.2120,-3.3053,-0.5347,1.8542,3.6805,0.04,0.00,0.04,93.98
56,/model.6/m.0/m/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.6/m.0/m/m.0/cv2/conv/Conv_output_0,-10.9567,8.2997,0.0708,0.9097,-4.4089,-2.8730,0.1897,1.8446,2.8767,0.01,0.00,0.01,96.14
60,/model.6/m.0/m/m.1/cv1/act/Sigmoid,SiLU,Conv,/model.6/m.0/m/m.1/cv1/conv/Conv_output_0,-11.4888,11.4431,-0.2885,1.0591,-5.0203,-3.3121,-0.1910,1.8391,3.3385,0.02,0.00,0.02,94.42
63,/model.6/m.0/m/m.1/cv2/act/Sigmoid,SiLU,Conv,/model.6/m.0/m/m.1/cv2/conv/Conv_output_0,-15.5164,14.1042,1.4252,1.5855,-6.1887,-3.0322,1.6827,4.9131,6.9801,0.10,0.29,0.39,58.41
68,/model.6/m.0/cv3/act/Sigmoid,SiLU,Conv,/model.6/m.0/cv3/conv/Conv_output_0,-14.9127,16.2912,-0.2346,1.3264,-6.1724,-3.9894,-0.2340,2.7751,4.5147,0.11,0.01,0.13,87.97
72,/model.6/cv2/act/Sigmoid,SiLU,Conv,/model.6/cv2/conv/Conv_output_0,-10.7778,10.5275,-0.4459,1.0401,-4.8715,-3.2087,-0.3958,1.6399,2.6337,0.02,0.00,0.02,92.95
75,/model.7/act/Sigmoid,SiLU,Conv,/model.7/conv/Conv_output_0,-18.2906,8.3372,-0.3069,1.1803,-5.4450,-3.2862,-0.3575,2.2344,3.0603,0.07,0.00,0.07,92.43
78,/model.8/cv1/act/Sigmoid,SiLU,Conv,/model.8/cv1/conv/Conv_output_0,-18.5597,9.7973,-0.4473,1.2498,-5.8295,-3.9926,-0.4072,2.1913,3.6993,0.07,0.00,0.07,88.43
83,/model.8/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.8/m.0/cv1/conv/Conv_output_0,-7.1089,5.5718,-0.2564,0.7849,-3.3744,-2.2301,-0.1764,1.3307,1.8342,0.00,0.00,0.00,98.24
84,/model.8/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.8/m.0/cv2/conv/Conv_output_0,-16.9830,12.2171,-0.1622,1.2910,-6.3728,-4.0489,-0.1552,3.0566,5.0711,0.17,0.03,0.20,89.37
88,/model.8/m.0/m/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.8/m.0/m/m.0/cv1/conv/Conv_output_0,-8.8316,8.8578,-0.5032,1.2400,-4.8424,-3.5015,-0.4946,2.0552,3.7445,0.02,0.01,0.03,86.91
91,/model.8/m.0/m/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.8/m.0/m/m.0/cv2/conv/Conv_output_0,-11.4339,9.7661,0.0714,1.4666,-5.5551,-4.1145,0.2605,3.0090,4.2914,0.07,0.01,0.07,85.36
95,/model.8/m.0/m/m.1/cv1/act/Sigmoid,SiLU,Conv,/model.8/m.0/m/m.1/cv1/conv/Conv_output_0,-9.8705,7.5625,-0.1567,1.2693,-5.3622,-3.5343,-0.0631,2.4800,3.4267,0.06,0.01,0.06,88.96
98,/model.8/m.0/m/m.1/cv2/act/Sigmoid,SiLU,Conv,/model.8/m.0/m/m.1/cv2/conv/Conv_output_0,-13.1761,13.0454,1.0915,1.8638,-6.8761,-4.2643,1.1860,5.6271,7.3485,0.17,0.73,0.90,65.10
103,/model.8/m.0/cv3/act/Sigmoid,SiLU,Conv,/model.8/m.0/cv3/conv/Conv_output_0,-12.4373,8.3222,-0.4739,1.2915,-5.4411,-3.8053,-0.4794,2.7387,3.7073,0.06,0.00,0.06,86.59
107,/model.8/cv2/act/Sigmoid,SiLU,Conv,/model.8/cv2/conv/Conv_output_0,-11.7742,8.3889,-0.3607,1.3145,-5.6206,-3.8594,-0.3489,2.5396,3.6990,0.07,0.00,0.07,87.81
115,/model.9/cv2/act/Sigmoid,SiLU,Conv,/model.9/cv2/conv/Conv_output_0,-14.7154,6.9158,-1.1860,1.5286,-7.2359,-5.2155,-1.0623,1.9969,3.0038,0.40,0.00,0.40,71.79
119,/model.10/cv1/act/Sigmoid,SiLU,Conv,/model.10/cv1/conv/Conv_output_0,-12.8301,14.1180,-0.1574,1.6270,-6.4656,-4.3045,-0.1439,3.3277,4.6662,0.15,0.03,0.18,78.68
138,/model.10/m/m.0/ffn/ffn.0/act/Sigmoid,SiLU,Conv,/model.10/m/m.0/ffn/ffn.0/conv/Conv_output_0,-8.5014,5.3221,-1.8313,0.9214,-5.1642,-4.0457,-1.8110,0.3212,1.3184,0.01,0.00,0.01,58.50
144,/model.10/cv2/act/Sigmoid,SiLU,Conv,/model.10/cv2/conv/Conv_output_0,-17.0190,9.3628,-1.1263,1.4268,-7.3894,-5.1192,-0.9912,1.7987,2.8464,0.41,0.00,0.41,74.42
149,/model.13/cv1/act/Sigmoid,SiLU,Conv,/model.13/cv1/conv/Conv_output_0,-13.1834,8.2954,0.0494,1.1926,-4.8642,-3.1568,0.1240,2.5012,3.2014,0.03,0.00,0.03,91.27
154,/model.13/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.13/m.0/cv1/conv/Conv_output_0,-6.9764,6.1292,0.0148,0.7271,-2.9564,-1.9222,0.0677,1.4815,2.0870,0.00,0.00,0.00,99.06
155,/model.13/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.13/m.0/cv2/conv/Conv_output_0,-13.4325,12.6862,-0.2457,1.2956,-6.2344,-3.8988,-0.1968,2.9103,4.5833,0.12,0.03,0.14,88.86
159,/model.13/m.0/m/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.13/m.0/m/m.0/cv1/conv/Conv_output_0,-8.4685,9.6377,-0.5257,1.0592,-4.4657,-3.3194,-0.4372,1.8483,3.2277,0.00,0.00,0.00,90.11
162,/model.13/m.0/m/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.13/m.0/m/m.0/cv2/conv/Conv_output_0,-14.6133,11.6048,0.1962,1.2816,-5.5119,-3.6539,0.2766,2.7577,4.0981,0.07,0.01,0.07,90.19
166,/model.13/m.0/m/m.1/cv1/act/Sigmoid,SiLU,Conv,/model.13/m.0/m/m.1/cv1/conv/Conv_output_0,-10.8925,8.5834,-0.4385,1.0009,-4.9233,-3.0297,-0.3921,1.7170,2.7056,0.01,0.00,0.01,94.00
169,/model.13/m.0/m/m.1/cv2/act/Sigmoid,SiLU,Conv,/model.13/m.0/m/m.1/cv2/conv/Conv_output_0,-18.7457,20.8023,1.8250,1.5393,-5.5670,-2.8946,1.9854,5.3914,8.2376,0.09,0.62,0.71,48.50
174,/model.13/m.0/cv3/act/Sigmoid,SiLU,Conv,/model.13/m.0/cv3/conv/Conv_output_0,-10.7164,10.6839,-0.2610,1.1351,-4.8759,-3.2408,-0.2139,2.3444,3.8965,0.01,0.01,0.02,92.06
178,/model.13/cv2/act/Sigmoid,SiLU,Conv,/model.13/cv2/conv/Conv_output_0,-15.8272,8.3365,-0.2137,1.0096,-5.5279,-3.0913,-0.0599,1.6230,2.5665,0.08,0.00,0.08,94.59
183,/model.16/cv1/act/Sigmoid,SiLU,Conv,/model.16/cv1/conv/Conv_output_0,-8.5578,8.9603,0.5614,1.0207,-2.9512,-1.9316,0.6647,2.6921,3.3668,0.00,0.01,0.01,93.36
