Module,Thành phần (Node),Vùng nhớ,Loại,Shape,Size,Địa chỉ bắt đầu,Địa chỉ kết thúc
-,Input Images,Input_Buffer,Input,1x3x640x640,1228800,0,1228799
0: Conv (P1),Node 0: Conv,DRAM_1,Weight,16x3x3x3,432,0,431
0: Conv (P1),Node 0: Conv,DRAM_1,Bias,16,16,432,447
0: Conv (P1),Node 1: Sigmoid,DRAM_1,Weight/Bias,-,0,-,-
0: Conv (P1),Node 2: Mul,DRAM_1,Weight/Bias,-,0,-,-
1: Conv (P2),Node 3: Conv,DRAM_1,Weight,32x16x3x3,4608,448,5055
1: Conv (P2),Node 3: Conv,DRAM_1,Bias,32,32,5056,5087
1: Conv (P2),Node 4: Sigmoid,DRAM_1,Weight/Bias,-,0,-,-
1: Conv (P2),Node 5: Mul,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 6: Conv,DRAM_1,Weight,32x32x1x1,1024,5088,6111
2: C3k2 (P2),Node 6: Conv,DRAM_1,Bias,32,32,6112,6143
2: C3k2 (P2),Node 7: Sigmoid,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 8: Mul,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 9: Split,DRAM_1,Weight,2,2,6144,6145
2: C3k2 (P2),Node 10: Conv,DRAM_1,Weight,8x16x3x3,1152,6146,7297
2: C3k2 (P2),Node 10: Conv,DRAM_1,Bias,8,8,7298,7305
2: C3k2 (P2),Node 11: Sigmoid,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 12: Mul,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 13: Conv,DRAM_1,Weight,16x8x3x3,1152,7306,8457
2: C3k2 (P2),Node 13: Conv,DRAM_1,Bias,16,16,8458,8473
2: C3k2 (P2),Node 14: Sigmoid,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 15: Mul,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 16: Add,DRAM_1,Weight/Bias,-,0,-,-
2: C3k2 (P2),Node 17: Concat,DRAM_1,Weight/Bias,-,0,-,-
