Stage,Module,Node_ID,Node_Name,Weight_Shape,Sx,Sw,Sy,Sw_x_Sx_div_Sy (M_float),M_mult_dyn,M_shift_dyn,Rel_Err_Dyn_%,M_mult_16,M_shift_16,Rel_Err_16_%,Bias_Scale,DRAM1_Weight_Start,DRAM1_Weight_End,DRAM1_Bias_Start,DRAM1_Bias_End,DRAM2_OFM_Start,DRAM2_OFM_End
backbone,module_0_conv_P1,0,/model.0/conv/Conv,"[16, 3, 3, 3]",7.87401575e-03,2.92541083e-01,5.63453614e-01,4.08813262e-03,34294,23,0.000752,268,16,0.029912,2.30347310e-03,0,431,432,447,0,1638399
backbone,module_1_conv_P2,3,/model.1/conv/Conv,"[32, 16, 3, 3]",4.78355588e-01,1.51355454e-02,9.09811546e-01,7.95788179e-03,33378,22,0.000673,522,16,0.090553,7.24017273e-03,448,5055,5056,5087,4915200,5734399
backbone,module_2_c3k2_P2,6,/model.2/cv1/conv/Conv,"[32, 32, 1, 1]",9.09811546e-01,1.12217102e-02,7.54901856e-01,1.35244620e-02,56726,22,0.000520,886,16,0.038263,1.02096415e-02,5088,6111,6112,6143,7372800,8191999
backbone,module_2_c3k2_P2,10,/model.2/m.0/cv1/conv/Conv,"[8, 16, 3, 3]",3.32369587e-01,1.01571665e-03,5.08644525e-02,6.63711702e-03,55676,23,0.000311,435,16,0.006874,3.37593323e-04,6146,7297,7298,7305,10240000,10444799
backbone,module_2_c3k2_P2,13,/model.2/m.0/cv2/conv/Conv,"[16, 8, 3, 3]",3.17474726e-02,1.05673497e-01,4.22226012e-01,7.94566501e-03,33327,22,0.001397,521,16,0.052407,3.35486645e-03,7306,8457,8458,8473,10854400,11263999
backbone,module_2_c3k2_P2,18,/model.2/cv2/conv/Conv,"[64, 48, 1, 1]",5.42817844e-01,1.01772631e-02,6.65320209e-01,8.30337025e-03,34827,22,0.000405,544,16,0.031180,5.52440003e-03,8474,11545,11546,11609,13721600,15359999
backbone,module_3_conv_P3,21,/model.3/conv/Conv,"[64, 64, 3, 3]",1.50978674e-01,1.47114565e-03,8.52254282e-02,2.60616608e-03,43724,24,0.000483,171,16,0.118444,2.22111620e-04,11610,48473,48474,48537,18636800,19046399
backbone,module_4_c3k2_P3,24,/model.4/cv1/conv/Conv,"[64, 64, 1, 1]",6.56558059e-02,9.93462717e-03,7.59351160e-02,8.58978017e-03,36028,22,0.000414,563,16,0.010688,6.52265953e-04,48538,52633,52634,52697,19865600,20275199
backbone,module_4_c3k2_P3,28,/model.4/m.0/cv1/conv/Conv,"[16, 32, 3, 3]",4.04383667e-02,4.21447454e-03,3.84173130e-02,4.43618913e-03,37213,23,0.001214,291,16,0.092838,1.70426467e-04,52700,57307,57308,57323,21299200,21401599
backbone,module_4_c3k2_P3,31,/model.4/m.0/cv2/conv/Conv,"[32, 16, 3, 3]",3.81273660e-02,6.09784990e-03,7.97591322e-02,2.91496345e-03,48905,24,0.000059,191,16,0.018345,2.32494955e-04,57324,61931,61932,61963,21606400,21811199
backbone,module_4_c3k2_P3,36,/model.4/cv2/conv/Conv,"[128, 96, 1, 1]",6.53598590e-02,5.91843147e-03,6.14630632e-02,6.29366365e-03,52795,23,0.000146,412,16,0.111899,3.86827846e-04,61964,74251,74252,74379,23040000,23859199
backbone,module_5_conv_P4,39,/model.5/conv/Conv,"[128, 128, 3, 3]",4.76787372e-02,7.09128521e-03,4.83479612e-02,6.99312887e-03,58663,23,0.000653,458,16,0.065829,3.38103524e-04,74380,221835,221836,221963,25497600,25702399
backbone,module_6_c3k2_P4,42,/model.6/cv1/conv/Conv,"[128, 128, 1, 1]",4.07351734e-02,8.73367617e-03,6.56999753e-02,5.41503725e-03,45425,23,0.000826,355,16,0.033848,3.55767814e-04,221964,238347,238348,238475,26112000,26316799
backbone,module_6_c3k2_P4,46,/model.6/m.0/cv1/conv/Conv,"[32, 64, 1, 1]",4.25605624e-02,4.98031303e-03,2.75647565e-02,7.68970780e-03,64506,23,0.000086,504,16,0.009388,2.11964923e-04,238478,240525,240526,240557,26828800,26879999
backbone,module_6_c3k2_P4,47,/model.6/m.0/cv2/conv/Conv,"[32, 64, 1, 1]",4.25605624e-02,2.04693914e-02,8.70319051e-02,1.00099936e-02,41985,22,0.000105,656,16,0.002277,8.71188811e-04,240558,242605,242606,242637,26880000,26931199
backbone,module_6_c3k2_P4,52,/model.6/m.0/m/m.0/cv1/conv/Conv,"[32, 32, 3, 3]",2.01105020e-02,8.53970389e-03,5.48463393e-02,3.13125241e-03,52534,24,0.000575,205,16,0.102216,1.71737732e-04,242638,251853,251854,251885,27136000,27187199
backbone,module_6_c3k2_P4,55,/model.6/m.0/m/m.0/cv2/conv/Conv,"[32, 32, 3, 3]",5.47946232e-02,5.03586221e-03,3.63429550e-02,7.59261794e-03,63691,23,0.000778,498,16,0.082436,2.75938172e-04,251886,261101,261102,261133,27289600,27340799
backbone,module_6_c3k2_P4,59,/model.6/m.0/m/m.1/cv1/conv/Conv,"[32, 32, 3, 3]",3.54033117e-02,3.57364294e-03,4.43541309e-02,2.85246926e-03,47856,24,0.001030,187,16,0.032403,1.26518795e-04,261134,270349,270350,270381,27494400,27545599
backbone,module_6_c3k2_P4,62,/model.6/m.0/m/m.1/cv2/conv/Conv,"[32, 32, 3, 3]",3.96176436e-02,6.92118763e-03,7.35402295e-02,3.72858701e-03,62555,24,0.000495,244,16,0.145966,2.74201145e-04,270382,279597,279598,279629,27648000,27699199
backbone,module_6_c3k2_P4,67,/model.6/m.0/cv3/conv/Conv,"[64, 64, 1, 1]",7.84856992e-02,5.82729972e-03,6.51664283e-02,7.01833298e-03,58874,23,0.000075,460,16,0.010116,4.57359693e-04,279630,283725,283726,283789,27955200,28057599
backbone,module_6_c3k2_P4,71,/model.6/cv2/conv/Conv,"[128, 192, 1, 1]",5.34103499e-02,5.00172799e-03,7.19738758e-02,3.71168065e-03,62272,24,0.000533,243,16,0.102242,2.67144042e-04,283790,308365,308366,308493,28569600,28774399
backbone,module_7_conv_P5,74,/model.7/conv/Conv,"[256, 128, 3, 3]",4.39202241e-02,5.79061705e-03,8.44318059e-02,3.01219660e-03,50536,24,0.000540,197,16,0.206333,2.54325199e-04,308494,603405,603406,603661,29184000,29286399
